2023-03-18 10:56:21,0.6842105263157895
2023-03-18 10:56:22,0.6842105263157895
2023-03-18 10:56:23,0.6842105263157895
2023-03-18 10:56:24,0.7368421052631579
2023-03-18 10:56:25,0.7368421052631579
2023-03-18 10:56:26,0.7368421052631579
2023-03-18 10:56:27,0.7368421052631579
2023-03-18 10:56:28,0.7368421052631579
2023-03-18 10:56:29,0.7368421052631579
2023-03-18 10:56:30,0.7368421052631579
2023-03-18 10:56:31,0.7368421052631579
2023-03-18 10:56:32,0.7368421052631579
2023-03-18 10:56:33,0.7368421052631579
2023-03-18 10:56:34,0.6842105263157895
2023-03-18 10:56:35,0.6842105263157895
2023-03-18 10:56:36,0.6842105263157895
2023-03-18 10:56:37,0.6842105263157895
2023-03-18 10:56:38,0.631578947368421
2023-03-18 10:56:39,0.631578947368421
2023-03-18 10:56:40,0.5789473684210527
2023-03-18 10:56:41,0.5789473684210527
2023-03-18 10:56:42,0.5789473684210527
2023-03-18 10:56:43,0.5263157894736842
2023-03-18 10:56:44,0.5263157894736842
2023-03-18 10:56:45,0.5263157894736842
2023-03-18 10:56:46,0.5263157894736842
2023-03-18 10:56:47,0.5263157894736842
2023-03-18 10:56:48,0.5263157894736842
2023-03-18 10:56:49,0.5263157894736842
2023-03-18 10:56:50,0.5263157894736842
2023-03-18 10:56:51,0.5263157894736842
2023-03-18 10:56:52,0.5263157894736842
2023-03-18 10:56:53,0.5789473684210527
2023-03-18 10:56:54,0.5789473684210527
2023-03-18 10:56:55,0.5789473684210527
2023-03-18 10:56:56,0.5789473684210527
2023-03-18 10:56:57,0.631578947368421
2023-03-18 10:56:58,0.631578947368421
2023-03-18 10:56:59,0.631578947368421
2023-03-18 10:57:00,0.631578947368421
2023-03-18 10:57:01,0.631578947368421
2023-03-18 10:57:02,0.631578947368421
2023-03-18 10:57:03,0.631578947368421
2023-03-18 10:57:04,0.5789473684210527
2023-03-18 10:57:05,0.5789473684210527
2023-03-18 10:57:06,0.5789473684210527
2023-03-18 10:57:07,0.5789473684210527
2023-03-18 10:57:08,0.5789473684210527
2023-03-18 10:57:09,0.5789473684210527
2023-03-18 10:57:10,0.5789473684210527
2023-03-18 10:57:11,0.5789473684210527
2023-03-18 10:57:12,0.5789473684210527
2023-03-18 10:57:13,0.5789473684210527
2023-03-18 10:57:14,0.5789473684210527
2023-03-18 10:57:15,0.5789473684210527
2023-03-18 10:57:16,0.5789473684210527
2023-03-18 10:57:17,0.5789473684210527
2023-03-18 10:57:18,0.5789473684210527
2023-03-18 10:57:19,0.5789473684210527
2023-03-18 10:57:20,0.5789473684210527
2023-03-18 10:57:21,0.5789473684210527
2023-03-18 10:57:22,0.5789473684210527
2023-03-18 10:57:23,0.5789473684210527
2023-03-18 10:57:24,0.5789473684210527
2023-03-18 10:57:25,0.5789473684210527
2023-03-18 10:57:26,0.5789473684210527
2023-03-18 10:57:27,0.5263157894736842
2023-03-18 10:57:28,0.5263157894736842
2023-03-18 10:57:29,0.5263157894736842
2023-03-18 10:57:30,0.5
2023-03-18 10:57:31,0.47368421052631576
2023-03-18 10:57:32,0.47368421052631576
2023-03-18 10:57:33,0.47368421052631576
2023-03-18 10:57:34,0.47368421052631576
2023-03-18 10:57:35,0.47368421052631576
2023-03-18 10:57:36,0.47368421052631576
2023-03-18 10:57:37,0.42105263157894735
2023-03-18 10:57:38,0.42105263157894735
2023-03-18 10:57:39,0.47368421052631576
2023-03-18 10:57:40,0.47368421052631576
2023-03-18 10:57:41,0.47368421052631576
2023-03-18 10:57:42,0.47368421052631576
2023-03-18 10:57:43,0.47368421052631576
2023-03-18 10:57:44,0.47368421052631576
2023-03-18 10:57:45,0.47368421052631576
2023-03-18 10:57:46,0.47368421052631576
2023-03-18 10:57:47,0.47368421052631576
2023-03-18 10:57:48,0.47368421052631576
2023-03-18 10:57:49,0.47368421052631576
2023-03-18 10:57:50,0.5263157894736842
2023-03-18 10:57:51,0.5263157894736842
2023-03-18 10:57:52,0.5394736842105263
2023-03-18 10:57:53,0.5526315789473685
2023-03-18 10:57:54,0.5657894736842105
2023-03-18 10:57:55,0.5789473684210527
2023-03-18 10:57:56,0.5789473684210527
2023-03-18 10:57:57,0.5789473684210527
2023-03-18 10:57:58,0.5789473684210527
2023-03-18 10:57:59,0.5789473684210527
2023-03-18 10:58:00,0.5789473684210527
2023-03-18 10:58:01,0.631578947368421
2023-03-18 10:58:02,0.631578947368421
2023-03-18 10:58:03,0.631578947368421
2023-03-18 10:58:04,0.631578947368421
2023-03-18 10:58:05,0.631578947368421
2023-03-18 10:58:06,0.6842105263157895
2023-03-18 10:58:07,0.631578947368421
2023-03-18 10:58:08,0.6842105263157895
2023-03-18 10:58:09,0.631578947368421
2023-03-18 10:58:10,0.631578947368421
2023-03-18 10:58:11,0.631578947368421
2023-03-18 10:58:12,0.631578947368421
2023-03-18 10:58:13,0.6842105263157895
2023-03-18 10:58:14,0.6842105263157895
2023-03-18 10:58:15,0.6842105263157895
2023-03-18 10:58:16,0.6842105263157895
2023-03-18 10:58:17,0.6842105263157895
2023-03-18 10:58:18,0.6842105263157895
2023-03-18 10:58:19,0.6842105263157895
2023-03-18 10:58:20,0.6842105263157895
2023-03-18 10:58:21,0.6842105263157895
2023-03-18 10:58:22,0.631578947368421
2023-03-18 10:58:23,0.631578947368421
2023-03-18 10:58:24,0.631578947368421
2023-03-18 10:58:25,0.631578947368421
2023-03-18 10:58:26,0.5789473684210527
2023-03-18 10:58:27,0.5789473684210527
2023-03-18 10:58:28,0.5789473684210527
2023-03-18 10:58:29,0.5263157894736842
2023-03-18 10:58:30,0.5263157894736842
2023-03-18 10:58:31,0.5263157894736842
2023-03-18 10:58:32,0.5263157894736842
2023-03-18 10:58:33,0.5263157894736842
2023-03-18 10:58:34,0.5263157894736842
2023-03-18 10:58:35,0.47368421052631576
2023-03-18 10:58:36,0.47368421052631576
2023-03-18 10:58:37,0.47368421052631576
2023-03-18 10:58:38,0.47368421052631576
2023-03-18 10:58:39,0.47368421052631576
2023-03-18 10:58:40,0.4473684210526316
2023-03-18 10:58:41,0.42105263157894735
2023-03-18 10:58:42,0.42105263157894735
2023-03-18 10:58:43,0.42105263157894735
2023-03-18 10:58:44,0.42105263157894735
2023-03-18 10:58:45,0.3684210526315789
2023-03-18 10:58:46,0.3684210526315789
2023-03-18 10:58:47,0.3684210526315789
2023-03-18 10:58:48,0.3684210526315789
2023-03-18 10:58:49,0.3684210526315789
2023-03-18 10:58:50,0.3684210526315789
2023-03-18 10:58:51,0.3684210526315789
2023-03-18 10:58:52,0.3684210526315789
2023-03-18 10:58:53,0.3684210526315789
2023-03-18 10:58:54,0.3684210526315789
2023-03-18 10:58:55,0.3684210526315789
2023-03-18 10:58:56,0.3684210526315789
2023-03-18 10:58:57,0.3684210526315789
2023-03-18 10:58:58,0.3157894736842105
2023-03-18 10:58:59,0.3157894736842105
2023-03-18 10:59:00,0.3157894736842105
2023-03-18 10:59:01,0.3157894736842105
2023-03-18 10:59:02,0.3157894736842105
2023-03-18 10:59:03,0.3157894736842105
2023-03-18 10:59:04,0.3157894736842105
2023-03-18 10:59:05,0.3157894736842105
2023-03-18 10:59:06,0.3684210526315789
2023-03-18 10:59:07,0.3684210526315789
2023-03-18 10:59:08,0.3684210526315789
2023-03-18 10:59:09,0.3684210526315789
2023-03-18 10:59:10,0.3684210526315789
2023-03-18 10:59:11,0.3684210526315789
2023-03-18 10:59:12,0.3684210526315789
2023-03-18 10:59:13,0.3684210526315789
2023-03-18 10:59:14,0.3684210526315789
2023-03-18 10:59:15,0.42105263157894735
2023-03-18 10:59:16,0.42105263157894735
2023-03-18 10:59:17,0.42105263157894735
2023-03-18 10:59:18,0.42105263157894735
2023-03-18 10:59:19,0.42105263157894735
2023-03-18 10:59:20,0.47368421052631576
2023-03-18 10:59:21,0.47368421052631576
2023-03-18 10:59:22,0.47368421052631576
2023-03-18 10:59:23,0.47368421052631576
2023-03-18 10:59:24,0.47368421052631576
2023-03-18 10:59:25,0.5263157894736842
2023-03-18 10:59:26,0.5263157894736842
2023-03-18 10:59:27,0.5263157894736842
2023-03-18 10:59:28,0.5263157894736842
2023-03-18 10:59:29,0.5263157894736842
2023-03-18 10:59:30,0.5263157894736842
2023-03-18 10:59:31,0.5263157894736842
2023-03-18 10:59:32,0.5263157894736842
2023-03-18 10:59:33,0.5263157894736842
2023-03-18 10:59:34,0.5263157894736842
2023-03-18 10:59:35,0.5263157894736842
2023-03-18 10:59:36,0.5263157894736842
2023-03-18 10:59:37,0.5263157894736842
2023-03-18 10:59:38,0.5789473684210527
2023-03-18 10:59:39,0.5789473684210527
2023-03-18 10:59:40,0.5789473684210527
2023-03-18 10:59:41,0.5789473684210527
2023-03-18 10:59:42,0.5789473684210527
2023-03-18 10:59:43,0.5789473684210527
2023-03-18 10:59:44,0.5789473684210527
2023-03-18 10:59:45,0.5789473684210527
2023-03-18 10:59:46,0.5789473684210527
2023-03-18 10:59:47,0.5789473684210527
2023-03-18 10:59:48,0.5789473684210527
2023-03-18 10:59:49,0.5789473684210527
2023-03-18 10:59:50,0.5789473684210527
2023-03-18 10:59:51,0.5789473684210527
2023-03-18 10:59:52,0.631578947368421
2023-03-18 10:59:53,0.631578947368421
2023-03-18 10:59:54,0.631578947368421
2023-03-18 10:59:55,0.631578947368421
2023-03-18 10:59:56,0.631578947368421
2023-03-18 10:59:57,0.631578947368421
2023-03-18 10:59:58,0.631578947368421
2023-03-18 10:59:59,0.6842105263157895
2023-03-18 11:00:00,0.6842105263157895
2023-03-18 11:00:01,0.6842105263157895
2023-03-18 11:00:02,0.6842105263157895
2023-03-18 11:00:03,0.6842105263157895
2023-03-18 11:00:04,0.6842105263157895
2023-03-18 11:00:05,0.6842105263157895
2023-03-18 11:00:06,0.6842105263157895
2023-03-18 11:00:07,0.6842105263157895
2023-03-18 11:00:08,0.6842105263157895
2023-03-18 11:00:09,0.6842105263157895
2023-03-18 11:00:10,0.6842105263157895
2023-03-18 11:00:11,0.6842105263157895
2023-03-18 11:00:12,0.6842105263157895
2023-03-18 11:00:13,0.6842105263157895
2023-03-18 11:00:14,0.6842105263157895
2023-03-18 11:00:15,0.6842105263157895
2023-03-18 11:00:16,0.6842105263157895
2023-03-18 11:00:17,0.6842105263157895
2023-03-18 11:00:18,0.6842105263157895
2023-03-18 11:00:19,0.6842105263157895
2023-03-18 11:00:20,0.6842105263157895
2023-03-18 11:00:21,0.631578947368421
2023-03-18 11:00:22,0.631578947368421
2023-03-18 11:00:23,0.631578947368421
2023-03-18 11:00:24,0.631578947368421
2023-03-18 11:00:25,0.631578947368421
2023-03-18 11:00:26,0.6842105263157895
2023-03-18 11:00:27,0.701754385964912
2023-03-18 11:00:28,0.7192982456140353
2023-03-18 11:00:29,0.7368421052631579
2023-03-18 11:00:30,0.7894736842105263
2023-03-18 11:00:31,0.7894736842105263
2023-03-18 11:00:32,0.7894736842105263
2023-03-18 11:00:33,0.8421052631578947
2023-03-18 11:00:34,0.8421052631578947
2023-03-18 11:00:35,0.8421052631578947
2023-03-18 11:00:36,0.8947368421052632
2023-03-18 11:00:37,0.8947368421052632
2023-03-18 11:00:38,0.8947368421052632
2023-03-18 11:00:39,0.8947368421052632
2023-03-18 11:00:40,0.8947368421052632
2023-03-18 11:00:41,0.8947368421052632
2023-03-18 11:00:42,0.8947368421052632
2023-03-18 11:00:43,0.8947368421052632
2023-03-18 11:00:44,0.8947368421052632
2023-03-18 11:00:45,0.8947368421052632
2023-03-18 11:00:46,0.8947368421052632
2023-03-18 11:00:47,0.8947368421052632
2023-03-18 11:00:48,0.8947368421052632
2023-03-18 11:00:49,0.8947368421052632
2023-03-18 11:00:50,0.8947368421052632
2023-03-18 11:00:51,0.8947368421052632
2023-03-18 11:00:52,0.8947368421052632
2023-03-18 11:00:53,0.8947368421052632
2023-03-18 11:00:54,0.8947368421052632
2023-03-18 11:00:55,0.8947368421052632
2023-03-18 11:00:56,0.8421052631578947
2023-03-18 11:00:57,0.8421052631578947
2023-03-18 11:00:58,0.8421052631578947
2023-03-18 11:00:59,0.8421052631578947
2023-03-18 11:01:00,0.8421052631578947
2023-03-18 11:01:01,0.8421052631578947
2023-03-18 11:01:02,0.8421052631578947
2023-03-18 11:01:03,0.8421052631578947
2023-03-18 11:01:04,0.7894736842105263
2023-03-18 11:01:05,0.7894736842105263
2023-03-18 11:01:06,0.7894736842105263
2023-03-18 11:01:07,0.7894736842105263
2023-03-18 11:01:08,0.7894736842105263
2023-03-18 11:01:09,0.7894736842105263
2023-03-18 11:01:10,0.7894736842105263
2023-03-18 11:01:11,0.7368421052631579
2023-03-18 11:01:12,0.7368421052631579
2023-03-18 11:01:13,0.7368421052631579
2023-03-18 11:01:14,0.7368421052631579
2023-03-18 11:01:15,0.7368421052631579
2023-03-18 11:01:16,0.6842105263157895
2023-03-18 11:01:17,0.6842105263157895
2023-03-18 11:01:18,0.6842105263157895
2023-03-18 11:01:19,0.6842105263157895
2023-03-18 11:01:20,0.6842105263157895
2023-03-18 11:01:21,0.6842105263157895
2023-03-18 11:01:22,0.6842105263157895
2023-03-18 11:01:23,0.6842105263157895
2023-03-18 11:01:24,0.6929824561403511
2023-03-18 11:01:25,0.701754385964912
2023-03-18 11:01:26,0.7105263157894737
2023-03-18 11:01:27,0.7368421052631579
2023-03-18 11:01:28,0.7368421052631579
2023-03-18 11:01:29,0.7368421052631579
2023-03-18 11:01:30,0.7368421052631579
2023-03-18 11:01:31,0.7894736842105263
2023-03-18 11:01:32,0.7894736842105263
2023-03-18 11:01:33,0.7894736842105263
2023-03-18 11:01:34,0.7894736842105263
2023-03-18 11:01:35,0.7894736842105263
2023-03-18 11:01:36,0.8421052631578947
2023-03-18 11:01:37,0.8421052631578947
2023-03-18 11:01:38,0.8421052631578947
2023-03-18 11:01:39,0.8421052631578947
2023-03-18 11:01:40,0.8421052631578947
2023-03-18 11:01:41,0.7894736842105263
2023-03-18 11:01:42,0.7894736842105263
2023-03-18 11:01:43,0.7894736842105263
2023-03-18 11:01:44,0.7894736842105263
2023-03-18 11:01:45,0.7894736842105263
2023-03-18 11:01:46,0.7894736842105263
2023-03-18 11:01:47,0.7894736842105263
2023-03-18 11:01:48,0.7894736842105263
2023-03-18 11:01:49,0.7894736842105263
2023-03-18 11:01:50,0.7894736842105263
2023-03-18 11:01:51,0.7631578947368421
2023-03-18 11:01:52,0.7368421052631579
2023-03-18 11:01:53,0.7368421052631579
2023-03-18 11:01:54,0.7368421052631579
2023-03-18 11:01:55,0.7368421052631579
2023-03-18 11:01:56,0.7368421052631579
2023-03-18 11:01:57,0.7368421052631579
2023-03-18 11:01:58,0.7368421052631579
2023-03-18 11:01:59,0.7368421052631579
2023-03-18 11:02:00,0.7368421052631579
2023-03-18 11:02:01,0.7368421052631579
2023-03-18 11:02:02,0.7368421052631579
2023-03-18 11:02:03,0.7368421052631579
2023-03-18 11:02:04,0.7368421052631579
2023-03-18 11:02:05,0.7368421052631579
2023-03-18 11:02:06,0.7368421052631579
2023-03-18 11:02:07,0.7368421052631579
2023-03-18 11:02:08,0.7368421052631579
2023-03-18 11:02:09,0.7368421052631579
2023-03-18 11:02:10,0.7368421052631579
2023-03-18 11:02:11,0.7368421052631579
2023-03-18 11:02:12,0.7368421052631579
2023-03-18 11:02:13,0.7368421052631579
2023-03-18 11:02:14,0.7368421052631579
2023-03-18 11:02:15,0.7368421052631579
2023-03-18 11:02:16,0.7368421052631579
2023-03-18 11:02:17,0.7105263157894737
2023-03-18 11:02:18,0.6842105263157895
2023-03-18 11:02:19,0.6842105263157895
2023-03-18 11:02:20,0.6842105263157895
2023-03-18 11:02:21,0.6842105263157895
2023-03-18 11:02:22,0.6578947368421053
2023-03-18 11:02:23,0.631578947368421
2023-03-18 11:02:24,0.631578947368421
2023-03-18 11:02:25,0.631578947368421
2023-03-18 11:02:26,0.631578947368421
2023-03-18 11:02:27,0.631578947368421
2023-03-18 11:02:28,0.631578947368421
2023-03-18 11:02:29,0.631578947368421
2023-03-18 11:02:30,0.6578947368421053
2023-03-18 11:02:31,0.6842105263157895
2023-03-18 11:02:32,0.6842105263157895
2023-03-18 11:02:33,0.7368421052631579
2023-03-18 11:02:34,0.7368421052631579
2023-03-18 11:02:35,0.7368421052631579
2023-03-18 11:02:36,0.7894736842105263
2023-03-18 11:02:37,0.8157894736842105
2023-03-18 11:02:38,0.8421052631578947
2023-03-18 11:02:39,0.8421052631578947
2023-03-18 11:02:40,0.8421052631578947
2023-03-18 11:02:41,0.8947368421052632
2023-03-18 11:02:42,0.8947368421052632
2023-03-18 11:02:43,0.8947368421052632
2023-03-18 11:02:44,0.8947368421052632
2023-03-18 11:02:45,0.8947368421052632
2023-03-18 11:02:46,0.8947368421052632
2023-03-18 11:02:47,0.8947368421052632
